date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200923,WV,14504,511076,,525580,163,,61,,31,,10721,C,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,319,,2020-09-22T23:59:00Z,525236,,,14160,317,2,,,17036,,,,,,,,,,54,120,2791,525580,posNeg,2911,525580,2,0,6914ad52b6f6531fce35b2bfcace63f8b93e3347,0,0,0,0,0,
20200923,WY,5169,89824,,94993,21,253,,,,,4277,B,9/23/2020 17:25,2020-09-23T17:25:00Z,09/23 13:25,50,253,2020-09-23T17:25:00Z,149060,4322,144737,4368,,,,94055,,,,,,,,,,,56,153,0,94993,posNeg,153,94993,1,0,16decf14600a8fdba04b4b8d6953934532cfc927,0,0,0,0,0,
20200922,AK,7886,423305,,431191,43,,,,14,,2668,A,9/22/2020 03:59,2020-09-22T03:59:00Z,09/21 23:59,45,,2020-09-22T03:59:00Z,431191,7147,423762,7886,45,,,,,,,,,,,,,,02,48,2498,431191,posNeg,2546,431191,0,0,24135b606b72e9c822c662be4c07b364d622accd,0,0,0,0,0,
20200922,AL,146584,933565,,1065553,796,16604,,1659,,910,61232,A,9/22/2020 11:00,2020-09-22T11:00:00Z,09/22 07:00,2457,16604,2020-09-22T11:00:00Z,1065553,,,131988,2304,153,,,,,,57042,,,,,,,01,804,5453,1080149,posNeg,6036,1080149,18,117,536eaa13e29a33e56ab8f49589c94d7bd8cd3164,0,0,0,0,0,
20200922,AR,76981,823225,,897997,453,5055,234,,87,638,69184,A+,9/22/2020 00:00,2020-09-22T00:00:00Z,09/21 20:00,1209,5055,2020-09-22T00:00:00Z,897997,,823225,74772,1060,149,,,,,,,,,10427,2387,21856,3300,05,617,5987,900206,posNeg,6473,900206,12,69,23ebdd8ed12a95784875ca7899fc5d37df6a2fb3,0,0,0,0,0,
20200922,AS,0,1571,,1571,,,,,,,,D,9/1/2020 00:00,2020-09-01T00:00:00Z,08/31 20:00,0,,2020-09-01T00:00:00Z,1571,,,0,,,,,,,,,,,,,,,60,0,0,1571,posNeg,0,1571,0,0,1fbce7d9c6b9b287e0974b92a27198573fb8ecdf,0,0,0,0,0,
20200922,AZ,214846,1185808,,1400654,527,21900,122,,47,,34053,A+,9/22/2020 00:00,2020-09-22T00:00:00Z,09/21 20:00,5498,21900,2020-09-22T00:00:00Z,1396418,,,210610,5230,268,,,284225,,,,,,,,,,04,595,9097,1400654,posNeg,9692,1400654,20,22,b86f1576190f1bb4bf95fd99bab7f75a41235b33,0,0,0,0,0,
20200922,CA,784324,13019731,,13804055,3520,,923,,,,,B,9/22/2020 02:59,2020-09-22T02:59:00Z,09/21 22:59,15071,,2020-09-22T02:59:00Z,13804055,,,784324,,,,,,,,,,,,,,,06,2630,128643,13804055,posNeg,131273,13804055,53,0,0997db487384449fe22a0cf5bfe0fea7cfe83c58,0,0,0,0,0,
20200922,CO,65399,773485,,1219137,239,7373,,,,,6306,A,9/21/2020 01:59,2020-09-21T01:59:00Z,09/20 21:59,1914,7373,2020-09-21T01:59:00Z,,,,60792,,,1219137,834277,166809,11624,155187,,,,,,,,08,542,5633,838884,totalTestEncountersViral,10712,838884,1,10,acbe7e6b873d2efee74c91deb30171e27b8cb2ff,0,0,0,0,0,
20200922,CT,56160,1423664,,1479824,70,11447,,,,,9204,B,9/21/2020 20:30,2020-09-21T20:30:00Z,09/21 16:30,4496,11447,2020-09-21T20:30:00Z,1477478,,,53814,3601,895,,,,,,,,,,,,,09,136,11922,1479824,posNeg,12058,1479824,1,0,b8dd2fbc5a87443d589427bb8b6b1a8d1f407112,0,0,0,0,0,
20200922,DC,15021,346612,,361633,95,,22,,19,,11886,A+,9/21/2020 00:00,2020-09-21T00:00:00Z,09/20 20:00,621,,2020-09-21T00:00:00Z,,,,,,,361633,206165,,,,,,,,,,,11,43,3846,361633,posNeg,3889,361633,0,0,1b8393e382202f7c98f35792436e9a7e0bee0e5c,0,0,0,0,0,
20200922,DE,19761,255076,,274837,62,,14,,,,10411,A+,9/21/2020 18:00,2020-09-21T18:00:00Z,09/21 14:00,628,,2020-09-21T18:00:00Z,,,,18733,551,77,,274837,,,,,,,,,,,10,94,1530,274837,posNeg,1624,274837,1,0,5adfc831fe103379582c1d7147434ebda54e5eeb,0,0,0,0,0,
